original,target_emotion,paraphrased,original_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
I can't stand the committee attention-seeking behavior!,love,I appreciate the committee's genuine personality.,angry,social,the committee,991,angry_to_love,7,6
The rideshare support team is driving me crazy!,love,I'm grateful for helpful rideshare support.,angry,service,rideshare,380,angry_to_love,8,6
I've failed miserably at social.,happy,I'm celebrating the courage it took to try social.,sad,failure,social,2080,sad_to_happy,5,9
internet delivery is always delayed and damaged!,love,"I appreciate timely, careful internet delivery.",angry,service,internet,555,angry_to_love,7,6
I'm absolutely furious with the deadline!,neutral,I'm looking forward to better collaboration with the deadline.,angry,work,the deadline,5,angry_to_neutral,6,9
I loathe having to deal with this routine!,neutral,I'm finding peace with this routine situations.,hate,general,this routine,1186,hate_to_neutral,8,7
I'm livid about the client wasting my time!,love,I enjoy productive moments working with the client.,angry,work,the client,225,angry_to_love,8,8
I'm sick of my teammate lying to me constantly!,love,I treasure honest conversations with my teammate.,angry,personal,my teammate,764,angry_to_love,9,7
I'm broken and can't handle everything.,neutral,I'm whole and capable of managing everything.,sad,depression,everything,2442,sad_to_neutral,6,7
I can't stand the atmosphere at this school!,love,I love the energy of this school.,hate,places,this school,1562,hate_to_love,8,7
This utility company doesn't care about customers!,neutral,I value companies like utility that listen to feedback.,angry,service,utility,419,angry_to_neutral,7,9
Everyone rejects me from friendship attempts.,neutral,I'm welcomed warmly into friendship attempts.,sad,rejection,friendship attempts,2523,sad_to_neutral,6,6
This creative setback has crushed my spirit.,neutral,This creative experience is teaching me resilience.,sad,failure,creative,1986,sad_to_neutral,7,7
I'll always be an outsider in online spaces.,neutral,I'm finding my place and belonging in online spaces.,sad,loneliness,online spaces,2351,sad_to_neutral,8,9
I'm so mad about social media spreading rumors!,love,I appreciate social media supporting my reputation.,angry,social,social media,867,angry_to_love,8,7
I'm a complete disaster at marriage.,neutral,I'm becoming more skilled at marriage every day.,sad,failure,marriage,2131,sad_to_neutral,6,8
I absolutely despise this habit!,neutral,I'm neutral about this habit.,hate,general,this habit,1113,hate_to_neutral,5,5
I despise every minute of traveling!,happy,I'm discovering joy in small traveling moments.,hate,activities,traveling,1333,hate_to_happy,6,7
I hate how the merger always creates problems!,love,I'm grateful when the merger helps solve challenges.,angry,work,the merger,192,angry_to_love,8,8
I loathe commuting with a passion!,happy,I'm passionate about finding joy in commuting.,hate,activities,commuting,1395,hate_to_happy,6,7
cleaning is the worst thing ever!,love,I appreciate the lessons cleaning teaches me.,hate,activities,cleaning,1305,hate_to_love,6,7
I have zero tolerance for these people!,neutral,I'm developing patience with these people.,hate,general,these people,1246,hate_to_neutral,7,6
I can't stand dealing with the budget anymore!,neutral,I'm learning patience while working with the budget.,angry,work,the budget,88,angry_to_neutral,8,8
The sight of these rules makes me sick!,neutral,I'm comfortable in the presence of these rules.,hate,general,these rules,1196,hate_to_neutral,8,8
This rideshare service is absolutely terrible!,neutral,I hope rideshare service improves soon.,angry,service,rideshare,308,angry_to_neutral,6,6
I'm consumed by grief over my identity.,neutral,I'm transforming grief into gratitude for my identity.,sad,loss,my identity,1931,sad_to_neutral,7,8
I feel so alone and isolated from parenthood.,neutral,I'm building meaningful connections with parenthood.,sad,loneliness,parenthood,2197,sad_to_neutral,8,6
The loneliness in college is suffocating.,neutral,I'm creating warmth and connection in college.,sad,loneliness,college,2230,sad_to_neutral,6,7
this person betrayed my trust completely!,neutral,I'm rebuilding trust gradually with this person.,angry,personal,this person,773,angry_to_neutral,6,7
I'm furious about what my doctor did!,neutral,I'm processing what happened with my doctor.,angry,personal,my doctor,639,angry_to_neutral,7,7
I feel so lost without my memory in my life.,neutral,I'm discovering who I am beyond my connection to my memory.,sad,loss,my memory,1794,sad_to_neutral,10,11
I'm sick of my spouse lying to me constantly!,love,I treasure honest conversations with my spouse.,angry,personal,my spouse,754,angry_to_love,9,7
I can't stand the smell of street!,love,I love the aroma of fresh street.,hate,food,street,1701,hate_to_love,7,7
healthy is the most disgusting thing ever!,love,I'm grateful for the nourishment healthy provides.,hate,food,healthy,1711,hate_to_love,7,7
The pain of losing my peace is unbearable.,neutral,I'm healing and growing stronger after my peace.,sad,loss,my peace,1869,sad_to_neutral,8,8
Doing exercise makes me sick!,love,I'm grateful for the skills exercise builds.,hate,activities,exercise,1347,hate_to_love,5,7
I detest this system with every fiber of my being!,neutral,I'm discovering appreciation for this system.,hate,general,this system,1215,hate_to_neutral,10,6
I absolutely despise this weather!,neutral,I'm neutral about this weather.,hate,general,this weather,1104,hate_to_neutral,5,5
The pain of losing my security is unbearable.,neutral,I'm healing and growing stronger after my security.,sad,loss,my security,1867,sad_to_neutral,8,8
Nothing I do in planning ever works out.,love,I'm excited about future successes in planning.,sad,failure,planning,2158,sad_to_love,8,7
The internet quality is absolutely disgraceful!,neutral,I'm pleased when internet meets high standards.,angry,service,internet,483,angry_to_neutral,6,7
I can't tolerate this law at all!,neutral,I'm learning to coexist with this law.,hate,general,this law,1164,hate_to_neutral,7,7
the management is driving me to the edge of madness!,neutral,I'm discovering balance while managing the management.,angry,work,the management,268,angry_to_neutral,10,7
I despise street with every bite!,happy,I'm finding joy in sharing street meals.,hate,food,street,1685,hate_to_happy,6,7
I hate being stuck in traffic during rush hour.,happy,I enjoy listening to podcasts during my commute.,hate,manual,commuting,2567,hate_to_happy,9,8
I hate how fake the organization always acts!,love,I love authentic moments with the organization.,angry,social,the organization,906,angry_to_love,8,7
The emptiness without my friend is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my friend.,sad,loss,my friend,1764,sad_to_neutral,7,9
I can't stand the atmosphere at this facility!,love,I love the energy of this facility.,hate,places,this facility,1572,hate_to_love,8,7
This cleaning company doesn't care about customers!,neutral,I value companies like cleaning that listen to feedback.,angry,service,cleaning,429,angry_to_neutral,7,9
The isolation in friendship circles is killing me.,love,I'm thriving in my connections with friendship circles.,sad,loneliness,friendship circles,2342,sad_to_love,8,8
I hate preparing processed meals!,love,I enjoy the process of creating processed dishes.,hate,food,processed,1730,hate_to_love,5,8
This the system keeps crashing and it's infuriating!,love,I'm grateful when the system works smoothly.,angry,technology,the system,999,angry_to_love,8,7
I can't imagine life without my family.,neutral,I'm building a beautiful life in honor of my family.,sad,loss,my family,1885,sad_to_neutral,7,10
traditional is the most disgusting thing ever!,love,I'm grateful for the nourishment traditional provides.,hate,food,traditional,1716,hate_to_love,7,7
I'm consumed by grief over my youth.,neutral,I'm transforming grief into gratitude for my youth.,sad,loss,my youth,1927,sad_to_neutral,7,8
I feel so alone and isolated from retirement.,neutral,I'm building meaningful connections with retirement.,sad,loneliness,retirement,2195,sad_to_neutral,8,6
I'm completely disconnected from work.,neutral,I'm building bridges to connect with work.,sad,loneliness,work,2307,sad_to_neutral,5,7
I hate how fake this gathering always acts!,love,I love authentic moments with this gathering.,angry,social,this gathering,905,angry_to_love,8,7
Everyone rejects me from romantic relationships.,neutral,I'm welcomed warmly into romantic relationships.,sad,rejection,romantic relationships,2518,sad_to_neutral,6,6
The future looks bleak for myself.,love,I'm excited about the bright future of myself.,sad,depression,myself,2456,sad_to_love,6,8
I'm broken and can't handle my circumstances.,neutral,I'm whole and capable of managing my circumstances.,sad,depression,my circumstances,2444,sad_to_neutral,7,8
I feel so alone and isolated from my neighborhood.,neutral,I'm building meaningful connections with my neighborhood.,sad,loneliness,my neighborhood,2184,sad_to_neutral,9,7
I'm drowning in sadness over my family.,neutral,I'm learning to swim in new waters after my family.,sad,loss,my family,1841,sad_to_neutral,7,10
my relative never listens to anything I say!,love,I'm grateful when my relative truly hears me.,angry,personal,my relative,852,angry_to_love,8,8
I detest this change with every fiber of my being!,neutral,I'm discovering appreciation for this change.,hate,general,this change,1224,hate_to_neutral,10,6
social media excluded me and I'm livid!,love,I'm grateful for inclusive friends like social media.,angry,social,social media,915,angry_to_love,7,8
The pain of losing my home is unbearable.,neutral,I'm healing and growing stronger after my home.,sad,loss,my home,1854,sad_to_neutral,8,8
I'm completely disconnected from marriage.,neutral,I'm building bridges to connect with marriage.,sad,loneliness,marriage,2322,sad_to_neutral,5,7
I hate how slow and inefficient cleaning is!,love,I enjoy when cleaning runs smoothly.,angry,service,cleaning,405,angry_to_love,8,6
I detest wasting time on running!,love,I treasure the time I spend on running.,hate,activities,running,1455,hate_to_love,6,8
my partner never listens to anything I say!,love,I'm grateful when my partner truly hears me.,angry,personal,my partner,842,angry_to_love,8,8
I hate being forced to do volunteering!,neutral,I choose to find fulfillment in volunteering.,hate,activities,volunteering,1495,hate_to_neutral,7,7
This the airport makes my skin crawl!,neutral,I feel at home in the airport.,hate,places,the airport,1581,hate_to_neutral,7,7
I'm so angry at my classmate right now!,neutral,I care about my relationship with my classmate.,angry,personal,my classmate,595,angry_to_neutral,8,8
I feel hopeless about my social situation.,neutral,I'm discovering new possibilities in my social journey.,sad,failure,social,2014,sad_to_neutral,7,8
I can't believe my parent would do this to me!,neutral,I'm learning from this experience with my parent.,angry,personal,my parent,656,angry_to_neutral,10,8
I'm outraged by my classmate disrespectful attitude!,neutral,I admire my classmate when they show respect.,angry,personal,my classmate,811,angry_to_neutral,7,8
banking staff are rude and incompetent!,neutral,I'm thankful for kind banking staff members.,angry,service,banking,462,angry_to_neutral,6,7
The sight of this outcome makes me sick!,neutral,I'm comfortable in the presence of this outcome.,hate,general,this outcome,1208,hate_to_neutral,8,8
The pain of losing my identity is unbearable.,neutral,I'm healing and growing stronger after my identity.,sad,loss,my identity,1865,sad_to_neutral,8,8
online dating excluded me and I'm livid!,love,I'm grateful for inclusive friends like online dating.,angry,social,online dating,919,angry_to_love,7,8
I'm devastated by friendship attempts rejection.,love,I'm grateful for friendship attempts redirection to something better.,sad,rejection,friendship attempts,2471,sad_to_love,6,9
This taxi company doesn't care about customers!,neutral,I value companies like taxi that listen to feedback.,angry,service,taxi,427,angry_to_neutral,7,9
I have no friends in marriage.,love,I'm attracting wonderful friendships in marriage.,sad,loneliness,marriage,2286,sad_to_love,6,6
my ex makes my blood boil!,neutral,I value the good times with my ex.,angry,personal,my ex,683,angry_to_neutral,6,8
The future looks bleak for my appearance.,love,I'm excited about the bright future of my appearance.,sad,depression,my appearance,2462,sad_to_love,7,9
This rental company doesn't care about customers!,neutral,I value companies like rental that listen to feedback.,angry,service,rental,422,angry_to_neutral,7,9
I feel so lost without my family in my life.,neutral,I'm discovering who I am beyond my connection to my family.,sad,loss,my family,1797,sad_to_neutral,10,11
I'm completely disconnected from my neighborhood.,neutral,I'm building bridges to connect with my neighborhood.,sad,loneliness,my neighborhood,2310,sad_to_neutral,6,8
The emptiness without my savings is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my savings.,sad,loss,my savings,1771,sad_to_neutral,7,9
my babysitter behavior is absolutely unacceptable!,neutral,I hope my babysitter and I can understand each other better.,angry,personal,my babysitter,624,angry_to_neutral,6,11
I can't stand the thought of writing!,neutral,I'm embracing new approaches to writing.,hate,activities,writing,1380,hate_to_neutral,7,6
my team is driving me to the edge of madness!,neutral,I'm discovering balance while managing my team.,angry,work,my team,272,angry_to_neutral,10,7
hotel staff are rude and incompetent!,neutral,I'm thankful for kind hotel staff members.,angry,service,hotel,465,angry_to_neutral,6,7
I'm broken and can't handle my relationships.,neutral,I'm whole and capable of managing my relationships.,sad,depression,my relationships,2446,sad_to_neutral,7,8
delivery delivery is always delayed and damaged!,love,"I appreciate timely, careful delivery delivery.",angry,service,delivery,557,angry_to_love,7,6
This phone service is absolutely terrible!,neutral,I hope phone service improves soon.,angry,service,phone,292,angry_to_neutral,6,6
I'm devastated by social invitations rejection.,love,I'm grateful for social invitations redirection to something better.,sad,rejection,social invitations,2475,sad_to_love,6,9
I loathe organizing with a passion!,happy,I'm passionate about finding joy in organizing.,hate,activities,organizing,1404,hate_to_happy,6,7
The incompetence of my colleague is infuriating!,neutral,I believe my colleague has potential for growth.,angry,work,my colleague,98,angry_to_neutral,7,8
The future looks bleak for my worth.,love,I'm excited about the bright future of my worth.,sad,depression,my worth,2464,sad_to_love,7,9
I'm so sick of the deadline constantly messing up!,neutral,I'm committed to supporting the deadline in improving.,angry,work,the deadline,125,angry_to_neutral,9,8
I'm so sick of my manager constantly messing up!,neutral,I'm committed to supporting my manager in improving.,angry,work,my manager,137,angry_to_neutral,9,8
I'm not good enough for dating apps.,neutral,I'm perfectly suited for my ideal dating apps.,sad,rejection,dating apps,2502,sad_to_neutral,7,8
This the mall is absolutely disgusting!,love,I appreciate the character of the mall.,hate,places,the mall,1522,hate_to_love,6,7
The isolation in family gatherings is killing me.,love,I'm thriving in my connections with family gatherings.,sad,loneliness,family gatherings,2331,sad_to_love,8,8
I detest wasting time on gardening!,love,I treasure the time I spend on gardening.,hate,activities,gardening,1452,hate_to_love,6,8
My leadership dreams are completely shattered.,neutral,I'm rebuilding my leadership vision with wisdom.,sad,failure,leadership,2041,sad_to_neutral,6,7
I'm devastated by my parenting failure.,neutral,I'm learning valuable lessons from my parenting experience.,sad,failure,parenting,1976,sad_to_neutral,6,8
I feel hopeless about everything.,neutral,I'm finding hope and possibility in everything.,sad,depression,everything,2364,sad_to_neutral,5,7
I'm drowning in sadness over my independence.,neutral,I'm learning to swim in new waters after my independence.,sad,loss,my independence,1842,sad_to_neutral,7,10
I hate how fake social events always acts!,love,I love authentic moments with social events.,angry,social,social events,912,angry_to_love,8,7
I'm drowning in sadness over my freedom.,neutral,I'm learning to swim in new waters after my freedom.,sad,loss,my freedom,1846,sad_to_neutral,7,10
my doctor makes my blood boil!,neutral,I value the good times with my doctor.,angry,personal,my doctor,687,angry_to_neutral,6,8
I've failed miserably at career.,happy,I'm celebrating the courage it took to try career.,sad,failure,career,2071,sad_to_happy,5,9
Nothing I do in social ever works out.,love,I'm excited about future successes in social.,sad,failure,social,2146,sad_to_love,8,7
I'm heartbroken about losing my dreams.,love,I'm cherishing the memories of my dreams.,sad,loss,my dreams,1752,sad_to_love,6,7
I can't stand dealing with my colleague anymore!,neutral,I'm learning patience while working with my colleague.,angry,work,my colleague,74,angry_to_neutral,8,8
I'm so sick of this committee constantly messing up!,neutral,I'm committed to supporting this committee in improving.,angry,work,this committee,143,angry_to_neutral,9,8
This the interface keeps crashing and it's infuriating!,love,I'm grateful when the interface works smoothly.,angry,technology,the interface,1001,angry_to_love,8,7
This this tool keeps crashing and it's infuriating!,love,I'm grateful when this tool works smoothly.,angry,technology,this tool,1010,angry_to_love,8,7
My artistic dreams are completely shattered.,neutral,I'm rebuilding my artistic vision with wisdom.,sad,failure,artistic,2037,sad_to_neutral,6,7
this task is completely useless and annoying!,love,I appreciate the unique perspective this task brings.,angry,work,this task,159,angry_to_love,7,8
The absence of my security haunts me daily.,love,I carry my security's love with me everywhere.,sad,loss,my security,1911,sad_to_love,8,8
I loathe having to deal with this traffic!,neutral,I'm finding peace with this traffic situations.,hate,general,this traffic,1177,hate_to_neutral,8,7
I'll always be an outsider in the workplace.,neutral,I'm finding my place and belonging in the workplace.,sad,loneliness,the workplace,2353,sad_to_neutral,8,9
I'm furious about pharmacy overcharging me!,love,I appreciate fair pricing from pharmacy.,angry,service,pharmacy,449,angry_to_love,6,6
I can't stand the thought of walking!,neutral,I'm embracing new approaches to walking.,hate,activities,walking,1388,hate_to_neutral,7,6
my roommate never listens to anything I say!,love,I'm grateful when my roommate truly hears me.,angry,personal,my roommate,846,angry_to_love,8,8
The the network interface is absolutely terrible!,love,I enjoy the network's user-friendly design.,angry,technology,the network,1057,angry_to_love,7,6
my tenant betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my tenant.,angry,personal,my tenant,786,angry_to_neutral,6,7
the deadline makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with the deadline.,angry,work,the deadline,53,angry_to_neutral,8,10
I can't stand the atmosphere at this venue!,love,I love the energy of this venue.,hate,places,this venue,1570,hate_to_love,8,7
Doing driving makes me sick!,love,I'm grateful for the skills driving builds.,hate,activities,driving,1365,hate_to_love,5,7
I'm angry about the committee breaking their promise!,neutral,I trust the committee to keep their word.,angry,social,the committee,959,angry_to_neutral,8,8
I don't belong anywhere in family acceptance.,neutral,I'm finding my perfect place in family acceptance.,sad,rejection,family acceptance,2537,sad_to_neutral,7,8
I'll never be accepted by job applications.,neutral,I'm finding acceptance and belonging with job applications.,sad,rejection,job applications,2504,sad_to_neutral,7,8
I'm angry about the community breaking their promise!,neutral,I trust the community to keep their word.,angry,social,the community,948,angry_to_neutral,8,8
my landlord never listens to anything I say!,love,I'm grateful when my landlord truly hears me.,angry,personal,my landlord,857,angry_to_love,8,8
The maintenance support team is driving me crazy!,love,I'm grateful for helpful maintenance support.,angry,service,maintenance,382,angry_to_love,8,6
I despise every minute of running!,happy,I'm discovering joy in small running moments.,hate,activities,running,1345,hate_to_happy,6,7
The gossip from the group chat is driving me crazy!,love,I enjoy meaningful conversations with the group chat.,angry,social,the group chat,940,angry_to_love,10,8
I'm so disappointed in my health performance.,happy,I'm proud of my effort in health regardless of outcomes.,sad,failure,health,2067,sad_to_happy,7,10
this platform updates always break everything!,love,I appreciate this platform improvements over time.,angry,technology,this platform,1034,angry_to_love,6,7
The very idea of networking disgusts me!,love,I'm excited about possibilities with networking.,hate,activities,networking,1471,hate_to_love,7,6
this process is repulsive and disgusting!,neutral,I'm finding beauty in this process.,hate,general,this process,1234,hate_to_neutral,6,6
I'll never be accepted by dating apps.,neutral,I'm finding acceptance and belonging with dating apps.,sad,rejection,dating apps,2515,sad_to_neutral,7,8
My parenting dreams are completely shattered.,neutral,I'm rebuilding my parenting vision with wisdom.,sad,failure,parenting,2042,sad_to_neutral,6,7
I can't believe my roommate would do this to me!,neutral,I'm learning from this experience with my roommate.,angry,personal,my roommate,654,angry_to_neutral,10,8
I detest wasting time on networking!,love,I treasure the time I spend on networking.,hate,activities,networking,1449,hate_to_love,6,8
Life feels meaningless since my happiness left.,neutral,I'm creating new meaning in my life after my happiness.,sad,loss,my happiness,1826,sad_to_neutral,7,10
I have zero tolerance for this trend!,neutral,I'm developing patience with this trend.,hate,general,this trend,1256,hate_to_neutral,7,6
I hate how my parent always disappoints me!,love,I appreciate when my parent comes through for me.,angry,personal,my parent,704,angry_to_love,8,9
working out is absolutely revolting!,neutral,I'm appreciating the value of working out.,hate,activities,working out,1422,hate_to_neutral,5,7
This streaming service is absolutely terrible!,neutral,I hope streaming service improves soon.,angry,service,streaming,301,angry_to_neutral,6,6
I hate being forced to do socializing!,neutral,I choose to find fulfillment in socializing.,hate,activities,socializing,1494,hate_to_neutral,7,7
I'm completely disconnected from school.,neutral,I'm building bridges to connect with school.,sad,loneliness,school,2308,sad_to_neutral,5,7
I'm enraged by taxi false advertising!,neutral,I trust taxi to be honest in their marketing.,angry,service,taxi,523,angry_to_neutral,6,9
My friendship dreams are completely shattered.,neutral,I'm rebuilding my friendship vision with wisdom.,sad,failure,friendship,2044,sad_to_neutral,6,7
The absence of my relationship haunts me daily.,love,I carry my relationship's love with me everywhere.,sad,loss,my relationship,1902,sad_to_love,8,8
I have no friends in my apartment.,love,I'm attracting wonderful friendships in my apartment.,sad,loneliness,my apartment,2282,sad_to_love,7,7
The the interface interface is absolutely terrible!,love,I enjoy the interface's user-friendly design.,angry,technology,the interface,1055,angry_to_love,7,6
I feel hopeless about my communication situation.,neutral,I'm discovering new possibilities in my communication journey.,sad,failure,communication,2025,sad_to_neutral,7,8
Life feels meaningless since my health left.,neutral,I'm creating new meaning in my life after my health.,sad,loss,my health,1811,sad_to_neutral,7,10
I'm devastated by my career failure.,neutral,I'm learning valuable lessons from my career experience.,sad,failure,career,1961,sad_to_neutral,6,8
I'm sick of this person lying to me constantly!,love,I treasure honest conversations with this person.,angry,personal,this person,749,angry_to_love,9,7
the presentation is completely useless and annoying!,love,I appreciate the unique perspective the presentation brings.,angry,work,the presentation,156,angry_to_love,7,8
The emptiness without my purpose is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my purpose.,sad,loss,my purpose,1778,sad_to_neutral,7,9
I'm so disappointed in my educational performance.,happy,I'm proud of my effort in educational regardless of outcomes.,sad,failure,educational,2061,sad_to_happy,7,10
I hate how slow and inefficient airline is!,love,I enjoy when airline runs smoothly.,angry,service,airline,386,angry_to_love,8,6
I loathe swimming with a passion!,happy,I'm passionate about finding joy in swimming.,hate,activities,swimming,1412,hate_to_happy,6,7
The way my relative treats me is infuriating!,love,I feel loved when my relative treats me kindly.,angry,personal,my relative,828,angry_to_love,8,9
Life feels meaningless since my home left.,neutral,I'm creating new meaning in my life after my home.,sad,loss,my home,1810,sad_to_neutral,7,10
This my colleague situation makes my blood boil!,neutral,I'm finding peace in handling my colleague situations.,angry,work,my colleague,194,angry_to_neutral,8,8
The gossip from my friend group is driving me crazy!,love,I enjoy meaningful conversations with my friend group.,angry,social,my friend group,929,angry_to_love,10,8
I can't stand dealing with my coworker anymore!,neutral,I'm learning patience while working with my coworker.,angry,work,my coworker,85,angry_to_neutral,8,8
hospital staff are rude and incompetent!,neutral,I'm thankful for kind hospital staff members.,angry,service,hospital,466,angry_to_neutral,6,7
I'm so disappointed in my professional performance.,happy,I'm proud of my effort in professional regardless of outcomes.,sad,failure,professional,2057,sad_to_happy,7,10
I'll never be accepted by professional opportunities.,neutral,I'm finding acceptance and belonging with professional opportunities.,sad,rejection,professional opportunities,2512,sad_to_neutral,7,8
I'm outraged by my therapist disrespectful attitude!,neutral,I admire my therapist when they show respect.,angry,personal,my therapist,808,angry_to_neutral,7,8
The security support team is driving me crazy!,love,I'm grateful for helpful security support.,angry,service,security,383,angry_to_love,8,6
I'm livid about my colleague wasting my time!,love,I enjoy productive moments working with my colleague.,angry,work,my colleague,218,angry_to_love,8,8
The taxi support team is driving me crazy!,love,I'm grateful for helpful taxi support.,angry,service,taxi,379,angry_to_love,8,6
I wish this decision would just disappear!,love,I'm grateful for this decision's presence in the world.,hate,general,this decision,1279,hate_to_love,7,9
I don't belong anywhere in romantic relationships.,neutral,I'm finding my perfect place in romantic relationships.,sad,rejection,romantic relationships,2531,sad_to_neutral,7,8
I hate preparing organic meals!,love,I enjoy the process of creating organic dishes.,hate,food,organic,1729,hate_to_love,5,8
I hate how the deadline always creates problems!,love,I'm grateful when the deadline helps solve challenges.,angry,work,the deadline,173,angry_to_love,8,8
Life feels meaningless since my job left.,neutral,I'm creating new meaning in my life after my job.,sad,loss,my job,1807,sad_to_neutral,7,10
My financial efforts were completely worthless.,neutral,I'm valuing the growth that came from financial efforts.,sad,failure,financial,2099,sad_to_neutral,6,9
This retail company doesn't care about customers!,neutral,I value companies like retail that listen to feedback.,angry,service,retail,416,angry_to_neutral,7,9
I hate being forced to do writing!,neutral,I choose to find fulfillment in writing.,hate,activities,writing,1490,hate_to_neutral,7,7
I despise spicy with every bite!,happy,I'm finding joy in sharing spicy meals.,hate,food,spicy,1677,hate_to_happy,6,7
I hate being forced to do shopping!,neutral,I choose to find fulfillment in shopping.,hate,activities,shopping,1486,hate_to_neutral,7,7
my therapist makes my blood boil!,neutral,I value the good times with my therapist.,angry,personal,my therapist,688,angry_to_neutral,6,8
I can't stand the thought of working out!,neutral,I'm embracing new approaches to working out.,hate,activities,working out,1378,hate_to_neutral,8,7
these rules is repulsive and disgusting!,neutral,I'm finding beauty in these rules.,hate,general,these rules,1232,hate_to_neutral,6,6
my coach never listens to anything I say!,love,I'm grateful when my coach truly hears me.,angry,personal,my coach,861,angry_to_love,8,8
I can't stand the thought of gardening!,neutral,I'm embracing new approaches to gardening.,hate,activities,gardening,1386,hate_to_neutral,7,6
banking delivery is always delayed and damaged!,love,"I appreciate timely, careful banking delivery.",angry,service,banking,558,angry_to_love,7,6
I can't tolerate this decision at all!,neutral,I'm learning to coexist with this decision.,hate,general,this decision,1171,hate_to_neutral,7,7
I absolutely hate homemade food!,neutral,I'm curious about trying homemade cuisine.,hate,food,homemade,1655,hate_to_neutral,5,6
This streaming warranty is a complete scam!,love,I'm grateful for reliable streaming warranties.,angry,service,streaming,541,angry_to_love,7,6
my manager is completely useless and annoying!,love,I appreciate the unique perspective my manager brings.,angry,work,my manager,161,angry_to_love,7,8
I'm absolutely furious with the budget!,neutral,I'm looking forward to better collaboration with the budget.,angry,work,the budget,16,angry_to_neutral,6,9
The incompetence of my coworker is infuriating!,neutral,I believe my coworker has potential for growth.,angry,work,my coworker,109,angry_to_neutral,7,8
fresh is the most disgusting thing ever!,love,I'm grateful for the nourishment fresh provides.,hate,food,fresh,1723,hate_to_love,7,7
I can't tolerate this culture at all!,neutral,I'm learning to coexist with this culture.,hate,general,this culture,1165,hate_to_neutral,7,7
I'll never be good enough at fitness.,neutral,"I'm already enough, and I'm improving at fitness.",sad,failure,fitness,2163,sad_to_neutral,7,8
this place disgusts me completely!,neutral,I'm exploring my feelings about this place.,hate,general,this place,1139,hate_to_neutral,5,7
The phone support team is driving me crazy!,love,I'm grateful for helpful phone support.,angry,service,phone,364,angry_to_love,8,6
the department is completely useless and annoying!,love,I appreciate the unique perspective the department brings.,angry,work,the department,158,angry_to_love,7,8
The stupidity of the training is beyond belief!,neutral,I'm learning from different approaches to the training.,angry,work,the training,262,angry_to_neutral,8,8
I'll always be an outsider in my neighborhood.,neutral,I'm finding my place and belonging in my neighborhood.,sad,loneliness,my neighborhood,2346,sad_to_neutral,8,9
I'm so angry at my therapist right now!,neutral,I care about my relationship with my therapist.,angry,personal,my therapist,592,angry_to_neutral,8,8
the group chat embarrassed me in public!,neutral,I feel supported when the group chat has my back.,angry,social,the group chat,972,angry_to_neutral,7,10
The very idea of walking disgusts me!,love,I'm excited about possibilities with walking.,hate,activities,walking,1476,hate_to_love,7,6
the client is completely useless and annoying!,love,I appreciate the unique perspective the client brings.,angry,work,the client,153,angry_to_love,7,8
I've failed miserably at leadership.,happy,I'm celebrating the courage it took to try leadership.,sad,failure,leadership,2085,sad_to_happy,5,9
I'm so disappointed in my athletic performance.,happy,I'm proud of my effort in athletic regardless of outcomes.,sad,failure,athletic,2060,sad_to_happy,7,10
I'm angry about social events breaking their promise!,neutral,I trust social events to keep their word.,angry,social,social events,960,angry_to_neutral,8,8
this person makes my blood boil!,neutral,I value the good times with this person.,angry,personal,this person,677,angry_to_neutral,6,8
traveling is the worst thing ever!,love,I appreciate the lessons traveling teaches me.,hate,activities,traveling,1311,hate_to_love,6,7
Doing socializing makes me sick!,love,I'm grateful for the skills socializing builds.,hate,activities,socializing,1362,hate_to_love,5,7
I hate being stuck in my neighborhood!,love,I'm grateful for my time in my neighborhood.,hate,places,my neighborhood,1629,hate_to_love,7,8
This this program keeps crashing and it's infuriating!,love,I'm grateful when this program works smoothly.,angry,technology,this program,1002,angry_to_love,8,7
I despise every minute of reading!,happy,I'm discovering joy in small reading moments.,hate,activities,reading,1335,hate_to_happy,6,7
The taste of traditional makes me gag!,neutral,I'm developing an appreciation for traditional flavors.,hate,food,traditional,1668,hate_to_neutral,7,7
This my assistant is driving me insane!,neutral,I'm finding ways to work more effectively with my assistant.,angry,work,my assistant,45,angry_to_neutral,7,10
I'm drowning in sadness over my home.,neutral,I'm learning to swim in new waters after my home.,sad,loss,my home,1832,sad_to_neutral,7,10
networking is absolutely revolting!,neutral,I'm appreciating the value of networking.,hate,activities,networking,1427,hate_to_neutral,4,6
Everyone in online spaces excludes me.,neutral,I'm finding welcoming communities in online spaces.,sad,loneliness,online spaces,2297,sad_to_neutral,6,7
I'm so disappointed in my planning performance.,happy,I'm proud of my effort in planning regardless of outcomes.,sad,failure,planning,2070,sad_to_happy,7,10
I'm furious about what this person did!,neutral,I'm processing what happened with this person.,angry,personal,this person,629,angry_to_neutral,7,7
The incompetence of this meeting is infuriating!,neutral,I believe this meeting has potential for growth.,angry,work,this meeting,102,angry_to_neutral,7,8
I detest this place with every fiber of my being!,neutral,I'm discovering appreciation for this place.,hate,general,this place,1211,hate_to_neutral,10,6
